model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
QWEN3_32B,4000,500,56,5.92,56,56,197.492,17.842,5.92,1.48,2953.972,738.493,56.048,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.265,0.056,2.0,54.0,8054.0,8000,54.0,trtllm,0.20.0,h200_sxm,738.493
QWEN3_32B,4000,500,28,2.871,28,28,298.332,17.825,2.871,1.435,1432.432,716.216,56.101,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,28.993,0.029,2.0,26.0,7706.0,7680,26.0,trtllm,0.20.0,h200_sxm,716.216
QWEN3_32B,4000,500,48,5.657,48,48,197.115,15.883,5.657,1.414,2822.74,705.685,62.959,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.165,0.048,2.0,46.0,8046.0,8000,46.0,trtllm,0.20.0,h200_sxm,705.685
QWEN3_32B,4000,500,40,5.212,40,40,196.739,14.255,5.212,1.303,2600.709,650.177,70.152,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,19.066,0.04,2.0,38.0,8038.0,8000,38.0,trtllm,0.20.0,h200_sxm,650.177
QWEN3_32B,4000,500,32,4.661,32,32,196.336,12.63,4.661,1.165,2325.626,581.407,79.177,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,17.967,0.032,2.0,30.0,8030.0,8000,30.0,trtllm,0.20.0,h200_sxm,581.407
QWEN3_32B,4000,500,28,4.334,28,28,196.095,11.817,4.334,1.083,2162.421,540.605,84.625,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,17.417,0.028,2.0,26.0,8026.0,8000,26.0,trtllm,0.20.0,h200_sxm,540.605
QWEN3_32B,4000,500,24,3.961,24,24,195.853,11.01,3.961,0.99,1976.313,494.078,90.823,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,16.868,0.024,2.0,22.0,8022.0,8000,22.0,trtllm,0.20.0,h200_sxm,494.078
QWEN3_32B,4000,500,20,3.532,20,20,195.612,10.213,3.532,0.883,1762.349,440.587,97.911,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,16.318,0.02,2.0,18.0,8018.0,8000,18.0,trtllm,0.20.0,h200_sxm,440.587
QWEN3_32B,4000,500,16,3.038,16,16,195.332,9.418,3.038,0.76,1515.987,378.997,106.184,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,15.768,0.016,2.0,14.0,8014.0,8000,14.0,trtllm,0.20.0,h200_sxm,378.997
QWEN3_32B,4000,500,15,2.888,15,15,188.129,9.314,2.888,0.722,1441.223,360.306,107.364,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,15.607,0.016,2.0,13.0,7693.0,7680,13.0,trtllm,0.20.0,h200_sxm,360.306
QWEN3_32B,4000,500,14,2.774,14,14,195.173,8.976,2.774,0.694,1384.257,346.064,111.404,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,15.494,0.014,2.0,12.0,8012.0,8000,12.0,trtllm,0.20.0,h200_sxm,346.064
