model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
QWEN3_32B,4000,500,176,2.743,176,176,406.994,128.277,2.743,2.743,1368.811,1368.811,7.796,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,132.427,0.917,1.0,175.0,1711.0,1536,175.0,trtllm,0.20.0,h200_sxm,1368.811
QWEN3_32B,4000,500,128,2.729,128,128,450.01,93.019,2.729,2.729,1361.724,1361.724,10.751,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,106.31,0.333,1.0,127.0,3199.0,3072,127.0,trtllm,0.20.0,h200_sxm,1361.724
QWEN3_32B,4000,500,128,2.693,128,128,463.43,92.846,2.693,2.693,1343.686,1343.686,10.77,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,106.911,0.154,2.0,126.0,6782.0,6656,126.0,trtllm,0.20.0,h200_sxm,1343.686
QWEN3_32B,4000,500,112,2.666,112,112,444.328,83.187,2.666,2.666,1330.338,1330.338,12.021,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,97.518,0.292,1.0,111.0,3183.0,3072,111.0,trtllm,0.20.0,h200_sxm,1330.338
QWEN3_32B,4000,500,96,2.595,96,96,365.72,73.702,2.595,2.595,1294.851,1294.851,13.568,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,88.469,0.5,1.0,95.0,1631.0,1536,95.0,trtllm,0.20.0,h200_sxm,1294.851
QWEN3_32B,4000,500,96,2.581,96,96,438.646,73.513,2.581,2.581,1287.947,1287.947,13.603,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,88.726,0.25,1.0,95.0,3167.0,3072,95.0,trtllm,0.20.0,h200_sxm,1287.947
QWEN3_32B,4000,500,80,2.508,80,80,408.235,51.029,2.508,2.508,1251.671,1251.671,19.597,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,79.505,1.25,1.0,79.0,591.0,512,79.0,trtllm,0.20.0,h200_sxm,1251.671
QWEN3_32B,4000,500,64,2.485,64,64,489.841,50.347,2.485,2.485,1239.897,1239.897,19.862,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,71.229,0.143,1.0,63.0,3647.0,3584,63.0,trtllm,0.20.0,h200_sxm,1239.897
QWEN3_32B,4000,500,56,2.455,56,56,396.26,45.604,2.455,2.455,1224.879,1224.879,21.928,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,66.317,0.875,1.0,55.0,567.0,512,55.0,trtllm,0.20.0,h200_sxm,1224.879
QWEN3_32B,4000,500,56,2.414,56,56,424.62,45.402,2.414,2.414,1204.395,1204.395,22.025,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,66.747,0.146,1.0,55.0,3127.0,3072,55.0,trtllm,0.20.0,h200_sxm,1204.395
QWEN3_32B,4000,500,56,2.411,56,56,487.159,45.268,2.411,2.411,1202.981,1202.981,22.091,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,66.833,0.125,1.0,55.0,3639.0,3584,55.0,trtllm,0.20.0,h200_sxm,1202.981
QWEN3_32B,4000,500,48,2.375,48,48,385.615,40.38,2.375,2.375,1184.957,1184.957,24.765,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,61.921,0.75,1.0,47.0,559.0,512,47.0,trtllm,0.20.0,h200_sxm,1184.957
QWEN3_32B,4000,500,48,2.318,48,48,484.477,40.204,2.318,2.318,1156.644,1156.644,24.873,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,62.437,0.107,1.0,47.0,3631.0,3584,47.0,trtllm,0.20.0,h200_sxm,1156.644
QWEN3_32B,4000,500,48,2.278,48,48,480.979,39.502,2.278,2.278,1136.486,1136.486,25.315,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,63.038,0.054,2.0,46.0,7214.0,7168,46.0,trtllm,0.20.0,h200_sxm,1136.486
QWEN3_32B,4000,500,40,2.242,40,40,374.97,35.608,2.242,2.242,1118.982,1118.982,28.084,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,57.526,0.625,1.0,39.0,551.0,512,39.0,trtllm,0.20.0,h200_sxm,1118.982
QWEN3_32B,4000,500,40,2.093,40,40,479.633,35.555,2.093,2.093,1044.492,1044.492,28.125,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,58.643,0.045,2.0,38.0,7206.0,7168,38.0,trtllm,0.20.0,h200_sxm,1044.492
